task_id,image_id,model_output_found,entry_status,field_accuracy,wrong_fields,main_error_reason,short_comment
task1,2018-05-30_08-12-16_911.jpg,True,partially_correct,0.833,sign_type,sign_type,"Some key fields match, but sign_type is off."
task1,2018-05-30_08-21-27_017.jpg,True,partially_correct,0.833,sign_type,sign_type,"Some key fields match, but sign_type is off."
task1,yaksamsungs23-20230703-0821__03_07_2023__09_11_19.png,True,incorrect,0.667,sign_type; readability,sign_type,"Most important fields are off, starting with sign_type."
task2,kism-samsung-ennoo-probe-03-20241126-1207_1732621868678_0.png,True,incorrect,0.429,lane_count; visible_arrow_count; lanes[1].visible_arrow_type; lanes[1].allowed_movements; lanes[2].visible_arrow_type; lanes[2].allowed_movements; lanes[2].merge_behavior; lanes[2].special_regulation,lane_count,"Most important fields are off, starting with lane_count."
task2,kism-samsung-ennoo-probe-03-20241127-1001_1732706581476_0.png,True,incorrect,0.455,lane_count; visible_arrow_count; lanes[0].visible_arrow_type; lanes[0].allowed_movements; lanes[3].visible_arrow_type; lanes[3].allowed_movements; lanes[3].merge_behavior; lanes[3].special_regulation; lanes[4].visible_arrow_type; lanes[4].allowed_movements; lanes[4].merge_behavior; lanes[4].special_regulation,lane_count,"Most important fields are off, starting with lane_count."
task2,kism-samsung-ennoo-probe-03-20250321-1400_1742563832542_0.png,True,incorrect,0.455,lane_count; visible_arrow_count; lanes[0].visible_arrow_type; lanes[0].allowed_movements; lanes[3].visible_arrow_type; lanes[3].allowed_movements; lanes[3].merge_behavior; lanes[3].special_regulation; lanes[4].visible_arrow_type; lanes[4].allowed_movements; lanes[4].merge_behavior; lanes[4].special_regulation,lane_count,"Most important fields are off, starting with lane_count."
task3,屏幕截图 2026-05-12 150944.png,True,incorrect,0.000,detection_quality; lane_markings_in_scene; detection_failure_visible; failure_reasons; problematic_regions,detection_quality,"Most important fields are off, starting with detection_quality."
task3,屏幕截图 2026-05-12 151004.png,True,incorrect,0.000,detection_quality; lane_markings_in_scene; detection_failure_visible; failure_reasons; problematic_regions,detection_quality,"Most important fields are off, starting with detection_quality."
task3,屏幕截图 2026-05-12 151026.png,True,incorrect,0.000,detection_quality; lane_markings_in_scene; detection_failure_visible; failure_reasons; problematic_regions,detection_quality,"Most important fields are off, starting with detection_quality."
task4,2018-05-30_08-12-16_911.jpg,True,partially_correct,0.800,bridge_visible,bridge_visible,"Some key fields match, but bridge_visible is off."
task4,2018-05-30_08-21-27_017.jpg,True,correct,1.000,,none,All evaluated fields match.
task4,ec828b3b-db5f-48bf-a61a-7f97e92c2b96.jpg,False,missing_model_output,,model_output_missing,model_output_missing,No model output JSON file found.
